# Iteration,Pool ID,Resource,Allocation,Utilization,Single Resource cost per time unit
202,48_35_55,Role 1,35,0.02,1
202,48_35_55,Role 2,55,0.93,1
203,8_3_64,SYSTEM,8,0.0,1
203,8_3_64,Role 1,3,0.23,1
203,8_3_64,Role 2,64,0.89,1
204,4_10_66,SYSTEM,4,0.0,1
204,4_10_66,Role 1,10,0.07,1
204,4_10_66,Role 2,66,0.85,1
205,3_8_59,SYSTEM,3,0.0,1
205,3_8_59,Role 1,8,0.08,1
205,3_8_59,Role 2,59,0.86,1
206,10_2_60,SYSTEM,10,0.0,1
206,10_2_60,Role 1,2,0.34,1
206,10_2_60,Role 2,60,0.94,1
207,10_24_65,SYSTEM,10,0.0,1
207,10_24_65,Role 1,24,0.03,1
207,10_24_65,Role 2,65,0.86,1
208,7_5_59,SYSTEM,7,0.0,1
208,7_5_59,Role 1,5,0.13,1
208,7_5_59,Role 2,59,0.88,1
209,7_2_56,SYSTEM,7,0.0,1
209,7_2_56,Role 1,2,0.29,1
209,7_2_56,Role 2,56,0.85,1
210,11_4_59,SYSTEM,11,0.0,1
210,11_4_59,Role 1,4,0.15,1
